path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,sim_point_dist,teo_Xdist,teo_Ydist,sim_Xdist,sim_Ydist,avg_error_target_dist,teo_point_vel,Energy,avg_energy
245,2,78,85.0,2.0,2.0563413469618688,0.0,2.0,0.22890043258667125,2.0204362869262695,0.040243934178234714,0.02564102564102564,943848.1483937271,153112.38796406926
245,1,74,79.04998779296875,1.4142135623730951,1.3685793361448826,1.0,1.0,0.9265737533569336,0.9603633880615252,0.03661336151784972,0.019110994086122907,942022.356094122,152816.20534253772
246,8,72,94.1500015258789,8.94427190999916,28.53369786363827,4.0,8.0,11.756181091070175,25.95346066541969,0.1696617967167566,0.12422599874998833,1221149.7105626606,186223.58502287974
246,7,96,104.60000610351562,2.0,2.4565822209400126,0.0,2.0,0.5787303447723398,2.286723613739013,0.04675808980170151,0.020833333333333332,1258489.0849246073,185554.09248087057
246,6,80,89.99998474121094,4.242640687119285,4.056942742156563,3.0,3.0,2.874322295188904,2.8380517959594718,0.07788323599081008,0.05303300858899106,994154.7803196742,159192.1695690914
246,5,72,80.85000610351562,9.486832980505138,9.345872890224094,9.0,3.0,8.778117775917051,3.031465530395506,0.19066923039240968,0.13176156917368248,960378.5147324384,160063.08578873973
246,4,90,99.64999389648438,4.47213595499958,4.93557540931464,4.0,2.0,4.456135749816893,2.102992057800294,0.11119974229685878,0.049690399499995326,1198247.3240705049,180642.5809086026
246,3,74,76.39999389648438,1.0,1.181200070443105,0.0,1.0,0.4814133644103995,0.9522190093994141,0.0307010492474279,0.013513513513513514,797043.6549514044,136691.85912097988
246,2,82,94.0,5.656854249492381,5.5105776900580645,4.0,4.0,3.922077655792237,3.859762191772461,0.0973800008934809,0.06898602743283391,1083468.8582831346,169209.4074872301
246,1,95,109.7000732421875,5.0,5.137795313754726,5.0,0.0,5.028713703155518,0.40592002868652344,0.090505998916924,0.05263157894736842,1444668.101418848,204306.92221543245
247,8,71,92.5,11.661903789690601,32.06310414022495,6.0,10.0,16.045685214921832,27.632517002522945,0.23957364349847748,0.16425216605198031,1241971.9680824364,191640.43523413225
247,7,95,106.84999084472656,4.0,4.700819330964179,4.0,0.0,4.041762351989745,1.465543746948244,0.08282065661029613,0.042105263157894736,1313812.8795426418,191639.3045043118
247,6,78,89.29998779296875,9.0,8.835805150261269,9.0,0.0,8.835626602172852,0.0406112670898473,0.17841824987091315,0.11538461538461539,1057378.4368180071,169316.05696097645
247,5,84,96.79998779296876,10.0,10.243702479236767,8.0,6.0,8.254792213439941,5.90684127807617,0.19241644486430146,0.11904761904761904,1194418.1667033324,184302.72437790455
247,4,83,89.8499755859375,1.4142135623730951,1.7846961019502348,1.0,1.0,1.3290014266967827,1.1798927783966073,0.041055662223161794,0.017038717618952953,981320.425361338,157137.0280043338
247,3,75,88.10000610351562,9.0,8.77789951848198,9.0,0.0,8.762085437774656,0.15231990814208984,0.1856005639573069,0.12,1017730.0112794462,165097.60875717876
247,2,80,92.24993896484376,2.8284271247461903,3.3973630858251664,2.0,2.0,2.6524115800857544,1.8923450708389282,0.0757187185331415,0.035355339059327376,990002.0606063155,158527.20222812126
247,1,83,89.35003662109375,1.0,1.0620687804825784,0.0,1.0,0.2731997966766353,0.9635227918624873,0.020380740417394697,0.012048192771084338,1054490.6883110534,164683.77767004276
248,8,86,110.4499969482422,8.06225774829855,14.813524960689293,8.0,1.0,13.652726447209716,4.751983450027183,0.12264068791528746,0.09374718311975057,1436796.960547581,205256.70864965447
248,7,71,80.19999694824219,2.8284271247461903,3.094215085732859,2.0,2.0,2.232019424438481,1.94137054681778,0.06796484797128609,0.039837001756988594,840260.234453367,142029.90244548878
248,6,87,95.25001525878906,2.0,1.9731863156470986,0.0,2.0,0.2884159088134748,1.896315693855286,0.039210420045093064,0.022988505747126436,1056983.9052209698,165073.15273406872
248,5,70,73.60000610351562,1.0,0.9852866842496076,1.0,0.0,0.8794326782226545,0.24882936477661177,0.024986120784888044,0.014285714285714285,727149.5575382306,128543.09576802011
248,4,96,106.6500244140625,2.0,1.9788047726812463,2.0,0.0,1.9784302711486825,0.019554018974305087,0.03233881848459334,0.020833333333333332,1254874.1809881076,185021.103973161
248,3,99,114.5,4.242640687119285,4.219661928633996,3.0,3.0,3.034402370452881,2.896453142166137,0.06290589607491785,0.04285495643554833,1390704.443788389,198672.06339834124
248,2,73,83.4000244140625,2.0,2.0109937481321967,0.0,2.0,0.3092846870422328,1.9266822338104252,0.04606424224163805,0.0273972602739726,834717.0015468897,141092.9250703167
248,1,77,84.050048828125,1.0,1.0004163170385871,1.0,0.0,0.8908739089965811,0.26130771636962713,0.020854539103119782,0.012987012987012988,940743.6696375508,152608.7750083721
249,8,96,127.3000030517578,12.206555615733702,22.55845405221302,10.0,7.0,19.602212350815538,10.879296258091927,0.16399844810366632,0.12715162099722607,1764542.2526884659,237930.8288146286
249,7,83,97.25,6.708203932499369,7.027987441147381,6.0,3.0,6.185855388641355,3.020689010620118,0.13973357364898775,0.08082173412649843,1098294.5809997313,171524.79637659842
249,6,89,104.64999389648438,7.0710678118654755,7.054855784003984,5.0,5.0,5.025889873504641,4.9180350303649885,0.128441805485636,0.07945020013331995,1216118.2106787004,183336.71843361948
249,5,86,98.20001220703124,2.0,2.1771158408760627,0.0,2.0,0.5091152191162109,1.995376586914062,0.04090140296555147,0.023255813953488372,1057357.8801351564,165131.55780326918
249,4,94,109.6500244140625,5.656854249492381,5.447183251611722,4.0,4.0,3.854149341583252,3.8214960098266597,0.09151011768161603,0.060179300526514684,1277154.088088645,188306.0970590136
249,3,88,94.14996337890624,1.0,1.251332707902246,1.0,0.0,1.0826478004455566,0.44538259506225764,0.028215192101197318,0.011363636363636364,1016767.5785369674,160765.0699595475
249,2,89,103.04998779296876,4.242640687119285,4.121931601580331,3.0,3.0,2.962630271911621,2.8577046394348162,0.06794074727872083,0.04767012007999196,1145811.199495742,174734.56979418756
249,1,74,89.1500244140625,4.0,4.022181002906652,0.0,4.0,0.3858146667480469,3.9398241043090794,0.08495926409959793,0.05405405405405406,1032042.3133097058,163180.21758638893
250,8,70,94.4499969482422,10.63014581273465,31.96958004761104,8.0,7.0,25.666741028428078,18.928936794400215,0.18776232531157935,0.1518592258962093,1169275.9259792038,182610.2200459556
250,7,92,107.09999084472656,4.242640687119285,4.950171800629041,3.0,3.0,3.5013351440429696,3.1216382980346706,0.09429517918162876,0.04611565964260092,1233205.9255383436,183835.48531728535
250,6,76,90.14999389648438,9.486832980505138,9.325568183812765,3.0,9.0,2.9772944450378436,8.757064223289488,0.2274156163789724,0.12482674974348866,1021231.0492668757,165665.55211493236
250,5,79,92.60000610351562,2.8284271247461903,3.4385707097068474,2.0,2.0,2.0018529891967765,2.6383343935012817,0.07327613449440552,0.03580287499678722,989183.9765260115,158396.20393468486
250,4,76,88.94998168945312,5.656854249492381,5.495825166700836,4.0,4.0,3.8314299583435094,3.907702922821045,0.11699516625722518,0.0744322927564787,930752.6799010597,153014.7980074816
250,3,91,100.49996948242188,1.0,1.3683590918649926,0.0,1.0,0.5196228027343794,1.1521306037902823,0.026203343201251256,0.01098901098901099,1094100.774967143,168823.41477355105
250,2,89,106.5499267578125,5.656854249492381,5.462927425760051,4.0,4.0,3.8897604942321786,3.8278961181640616,0.08472228073514998,0.06356016010665597,1196375.03989038,180360.3234483121
250,1,88,105.5999755859375,4.242640687119285,4.297917586235669,3.0,3.0,2.988661289215088,2.987089514732361,0.07898100214483945,0.04821182598999187,1268208.0339450596,186987.0733362158
251,7,85,115.6500015258789,10.04987562112089,24.30176299241171,1.0,10.0,15.215341682543112,12.081144972362381,0.16190691163041154,0.11823383083671635,1468156.8107925486,209736.68725607838
251,6,78,94.3499984741211,9.486832980505138,9.701227620048346,9.0,3.0,8.86514925956726,3.4501290321350098,0.19057412006151983,0.12162606385262997,1060368.0241237092,169794.77405687765
251,5,98,114.0,3.0,3.473403675485786,0.0,3.0,1.0954008102417028,2.948795795440674,0.0643864207445307,0.030612244897959183,1303254.2446715347,190099.16931860842
251,4,96,115.4000244140625,10.816653826391969,10.586618266101123,6.0,9.0,5.8514180183410645,8.777128338813782,0.17583008653794727,0.11267347735824967,1425265.7404150285,205719.389723842
251,3,93,113.79998779296876,8.246211251235321,8.67572450542704,2.0,8.0,2.275507926940918,8.280448079109192,0.168127317615646,0.08866893818532603,1354475.947388596,197570.6225499402
251,2,75,90.0999755859375,5.656854249492381,5.792665597190055,4.0,4.0,3.903383731842041,4.176877975463867,0.12100101257296833,0.07542472332656508,933576.4982220271,153479.03087978295
251,1,98,117.4000244140625,3.0,3.163060934849862,3.0,0.0,3.0081076622009313,0.49060726165771484,0.051367646302370465,0.030612244897959183,1470284.6432209373,205881.03037545065
252,7,80,108.5999984741211,10.44030650891055,27.466275125969034,10.0,3.0,23.885196439921856,12.881514705717564,0.16898982011609606,0.13050383136138188,1307655.5071496873,194933.77367591087
252,6,98,118.8499984741211,7.0,7.414844171879688,0.0,7.0,1.2825450897216815,6.92430853843689,0.1180590105300047,0.07142857142857142,1417559.9563979383,202508.56519970548
252,5,89,105.10002136230469,4.47213595499958,4.48651555702931,4.0,2.0,3.8085970878601074,2.1606302261352486,0.08240831123535024,0.050248718595500896,1148003.9685312673,175068.9639371747
252,4,94,101.69998168945312,1.0,1.1105748064362084,1.0,0.0,1.0598196983337402,0.2187547683715838,0.02380646163198565,0.010638297872340425,1093344.6826736415,168706.7471997832
252,3,89,104.5,2.8284271247461903,2.7464194889575615,2.0,2.0,1.9940910339355469,1.8760261535644531,0.047862411487501026,0.03178008005332798,1137360.1193726237,173445.79215764572
252,2,95,114.29998779296876,4.0,3.921848934302563,4.0,0.0,3.8745388984680176,0.23957824707031072,0.05933614773428107,0.042105263157894736,1305011.9561057165,190355.55788201108
252,1,99,114.45001220703124,1.4142135623730951,1.4410349037377894,1.0,1.0,1.0542893409728995,0.9192209243774432,0.024062507453241518,0.014284985478516112,1377854.177636887,196836.31109098386
253,8,77,108.5,9.433981132056603,30.978898242280934,5.0,8.0,16.770819264558668,26.02798564580371,0.15980288055207995,0.12251923548125458,1291337.2471934617,192501.191106802
253,7,95,114.84999084472656,4.47213595499958,4.786215184286013,4.0,2.0,4.0240784883499146,2.435756206512451,0.08622636253257161,0.04707511531578505,1270959.9476076323,187392.8208697949
253,6,84,103.80001831054688,5.656854249492381,5.603580057566041,4.0,4.0,3.983930230140686,3.9159207344055176,0.10486518307810738,0.06734350297014739,1118209.4625613883,172543.4660325326
253,5,94,105.0999755859375,1.0,1.2216566829806181,0.0,1.0,0.4287390708923331,1.0668573379516655,0.026115154891851403,0.010638297872340425,1093483.6541471672,168728.1909636974
253,4,88,101.39999389648438,1.4142135623730951,1.2614155969503038,1.0,1.0,0.9008827209472665,0.8669786453247053,0.0249010247700825,0.016070608663330627,1054445.4949659226,164676.71965532136
253,3,75,91.3499755859375,4.242640687119285,4.099421512667293,3.0,3.0,2.955701470375061,2.8243260383605984,0.08340388249505211,0.056568542494923796,917535.6424357427,150841.9304330065
253,2,83,102.1500244140625,3.0,3.1259822830510013,0.0,3.0,0.44947385787963845,3.007761478424075,0.059014065872605256,0.03614457831325301,1061305.488031175,165748.07057885156
253,1,81,96.50006103515624,1.4142135623730951,1.4095790763460796,1.0,1.0,0.9209610223770137,1.013944625854494,0.027853201711323203,0.017459426695964137,1055046.227619091,164770.538333656
254,8,83,117.3499984741211,10.198039027185569,28.588231579119633,2.0,10.0,5.822111951802524,27.98201361346583,0.1687737973406911,0.12286794008657312,1422320.813541779,205294.32614308843
254,7,72,79.6500015258789,1.0,1.6510995917593783,1.0,0.0,0.9516297578811646,1.0857219696044886,0.04882894936599769,0.013888888888888888,729813.9131584857,129014.09174966381
254,6,86,106.20001220703124,9.0,8.693310744400597,9.0,0.0,8.69318413734436,0.023937225341793322,0.15546149063075698,0.10465116279069768,1193328.6537610672,181980.91363549454
254,5,88,110.04998779296876,8.94427190999916,9.148072507569385,8.0,4.0,8.219449996948242,3.8913278579711905,0.15241596509109845,0.10163945352271772,1237225.6946068967,186518.79136354147
254,4,85,104.95004272460938,5.656854249492381,5.890683381514133,4.0,4.0,4.244791507720948,4.027325630187989,0.11570847136456341,0.06655122646461624,1121037.0753824336,172979.77616321566
254,3,97,117.4500732421875,3.0,3.1143739005566986,3.0,0.0,2.986753225326537,0.4526367187500071,0.04859329147779561,0.030927835051546393,1300301.7753097303,189668.50740025102
254,2,79,94.95001220703124,1.4142135623730951,1.410172882982141,1.0,1.0,0.9960372447967529,0.9321098327636719,0.03079727213633688,0.01790143749839361,941423.8364608906,152719.11263706026
254,1,83,103.60003662109376,2.8284271247461903,2.7571765342241426,2.0,2.0,1.885725736618042,1.996778964996338,0.048664225498214364,0.034077435237905906,1177651.4515698012,177537.6363033829
255,8,72,102.9499969482422,9.219544457292887,23.68267482612083,2.0,9.0,6.112497086633994,22.858238621272903,0.17573069980958614,0.1280492285735123,1127053.3900444927,176016.16777255485
255,7,83,105.35000610351562,11.313708498984761,11.85225442268702,8.0,8.0,7.954226136207581,8.417593002319336,0.24003457969852857,0.13630974095162363,1199457.0644896852,185080.24318645534
255,6,97,119.54998779296876,4.47213595499958,4.851606515868389,4.0,2.0,4.206211090087887,2.3530365228652954,0.09313376616448799,0.04610449438143897,1312384.4809015007,191430.95114866618
255,5,74,93.6500244140625,7.0710678118654755,7.048885318219548,5.0,5.0,5.025611758232117,4.93071174621582,0.14928137948988257,0.09555497043061453,942440.2677126175,154936.22560774413
255,4,86,97.29995727539062,1.0,1.3976781611757476,1.0,0.0,1.2080489397048946,0.537888050079343,0.027593324591993894,0.011627906976744186,942097.2959320092,152828.3621895391
255,3,72,85.70001220703125,1.4142135623730951,1.2739027028564602,1.0,1.0,0.8666571378707892,0.9190001487731942,0.03839261914767763,0.019641855032959656,796704.0375851141,136633.61522317125
255,2,75,89.35003662109375,1.4142135623730951,1.3366737438720457,1.0,1.0,0.8765919208526611,0.9870128631591779,0.024491873915706362,0.01885618083164127,832135.6229247276,140656.5924451996
255,1,96,124.0,8.94427190999916,8.85111760274304,8.0,4.0,7.941411972045898,3.8900499343872097,0.11964232346736918,0.09316949906249124,1522260.7362685709,213159.13916946948
256,8,75,107.3499984741211,11.661903789690601,34.509411105139456,6.0,10.0,25.53266662172973,21.82737273722887,0.20699887592778649,0.15549205052920803,1249306.9305653812,190517.52081783526
256,7,92,116.9499969482422,7.0710678118654755,7.743646667505897,5.0,5.0,5.244729042053225,5.473561763763428,0.14461714280364307,0.07685943273766821,1298465.9496297364,191448.35961393444
256,6,90,112.89999389648438,4.47213595499958,4.468660922847166,4.0,2.0,3.942310333251953,2.0542259216308585,0.07910374983806502,0.049690399499995326,1186698.7224044304,178901.56370043702
256,5,75,84.24996948242188,1.0,1.0113995171430465,1.0,0.0,0.9780068397521955,0.147876739501954,0.025428724842089596,0.013333333333333334,761546.3156420545,132568.19752866682
256,4,70,88.95001220703125,4.242640687119285,4.2061382359278285,3.0,3.0,3.0199172496795654,2.9130396842956543,0.09052500267113958,0.06060915267313264,845562.66565431,142926.17690346527
256,3,97,121.45001220703124,4.0,4.003378161973065,4.0,0.0,3.8853485584259033,0.45664787292480113,0.06130837871039167,0.041237113402061855,1304194.0140670368,190236.24877349328
256,2,81,103.0,7.0710678118654755,6.9425380908434,5.0,5.0,4.9601569175720215,4.79535436630249,0.11886896966025233,0.08729713347982068,1051011.60386286,166179.52577366302
256,1,89,117.75,5.656854249492381,5.978997265810512,4.0,4.0,4.163246154785156,4.143788814544678,0.09605157181310157,0.06356016010665597,1361235.840603169,196477.46975070157
257,8,88,118.5,1.4142135623730951,13.544820216339232,1.0,1.0,12.98786948248744,3.014846417121589,0.020373592477129852,0.016070608663330627,1255818.8525010394,185160.3881889515
257,7,95,125.6500015258789,9.486832980505138,9.48913635709586,9.0,3.0,8.97883439064026,3.0542954802513127,0.1445513686242824,0.09986139979479093,1394904.1549449489,201337.0723377984
257,6,70,83.60000610351562,1.0,1.4133820455471104,0.0,1.0,0.8043041229247994,0.9361932277679439,0.037478792073670775,0.014285714285714285,728276.7052833075,128742.34922150586
257,5,81,105.45001220703124,4.242640687119285,4.094102383147054,3.0,3.0,2.9184260368347177,2.8617563247680664,0.0771861860062927,0.05237828008789241,1027447.4732530686,162453.70958323136
257,4,87,113.29998779296876,10.0,9.860469340241945,6.0,8.0,5.934206485748289,7.8284430503845215,0.1695729584194893,0.11494252873563218,1200062.1483951567,183007.76194053542
257,3,85,107.8499755859375,2.0,2.5553221761974716,2.0,0.0,2.2116680145263667,0.8368988037109375,0.05006681819923404,0.023529411764705882,1059257.2769606295,165428.19375082257
257,2,76,97.75,5.0990195135927845,5.002307585585934,5.0,1.0,4.909223556518555,0.9552879333496094,0.090278150765477,0.0670923620209577,921744.9824514625,151533.94166881475
257,1,86,110.4000244140625,2.0,2.14997314640694,2.0,0.0,2.1359462738037136,0.11061763763427734,0.04437099369666116,0.023255813953488372,1175068.1435549739,177148.18796687835
258,8,88,126.1500015258789,8.06225774829855,29.515162818892584,4.0,7.0,16.086555819027126,24.724845834076405,0.11907270641959443,0.09161656532157442,1422188.5544345188,203169.7934906455
258,7,72,94.09999084472656,4.242640687119285,4.411473822658998,3.0,3.0,3.0515856742858887,3.1606450080871573,0.08776829826335113,0.05892556509887895,880895.7071518622,146815.95119197702
258,6,89,117.45001220703124,10.816653826391969,10.672981490254854,6.0,9.0,5.90328574180603,8.813717365264893,0.1870492421598597,0.12153543625159516,1250082.616340894,188457.04524311578
258,5,85,114.10003662109376,10.0,10.533362129529458,6.0,8.0,6.187369465827942,8.286250829696655,0.1952527492458737,0.11764705882352941,1208373.043490313,184275.16156073107
258,4,83,109.50003051757812,4.242640687119285,4.578447402377278,3.0,3.0,2.9921860694885254,3.236654758453372,0.08627428441512876,0.05111615285685885,1067800.7338074176,166762.45754611847
258,3,86,112.50006103515624,4.0,3.9632446399955725,0.0,4.0,0.24174308776854758,3.9020752906799325,0.06867623357989248,0.046511627906976744,1103178.1033814743,170224.07695658843
258,2,73,90.75,1.4142135623730951,1.4104804622377194,1.0,1.0,0.9186697006225586,1.02095317840576,0.030936291455017292,0.019372788525658838,796964.3303381832,136678.25506204544
258,1,78,96.1500244140625,1.0,0.989403019966565,0.0,1.0,0.13400077819823863,0.9660902023315465,0.01743090329507954,0.01282051282051282,940455.7787455942,152562.07293874826
259,8,91,133.94999694824222,12.041594578792296,35.93286104081992,8.0,9.0,25.779257725924253,24.95620473846793,0.16409162231081842,0.1323252151515637,1558597.154795807,218247.25548832898
259,7,83,108.9499969482422,2.8284271247461903,3.458946605528699,2.0,2.0,2.1782250404357955,2.4654140472412145,0.06802785678244219,0.034077435237905906,1062588.3313346552,165948.41704346967
259,6,88,115.44998168945312,3.0,2.9411092530840697,0.0,3.0,0.21383285522460582,2.896615028381346,0.052031542651008726,0.03409090909090909,1137169.6007403638,173416.73833860434
259,5,74,99.04998779296876,9.0,8.846938360514109,0.0,9.0,0.01699924468993963,8.846888661384583,0.18844154013975248,0.12162162162162163,962302.1462263305,158201.49832138058
259,4,74,96.95004272460938,2.8284271247461903,3.2358420587529553,2.0,2.0,1.913380622863766,2.46542763710022,0.07377075934265223,0.03822198817224581,875031.0921088886,145838.51535148144
259,3,91,122.1500244140625,6.324555320336759,6.269776056143145,6.0,2.0,5.936214447021486,1.9593816995620719,0.10259201518363423,0.06950060791578856,1236296.1794018275,184296.15316438407
259,2,98,125.0,1.4142135623730951,1.6255267826292412,1.0,1.0,1.192753076553344,0.9741104841232295,0.029072442132493725,0.014430750636460155,1253349.8404008646,184796.35221513157
259,1,93,125.7999267578125,4.242640687119285,4.113706960522636,3.0,3.0,2.848242282867432,2.9607980251312256,0.06179457293668141,0.045619792334615966,1345860.8888695103,194258.2866201502
260,8,93,129.5,1.4142135623730951,13.783818908779649,1.0,1.0,8.699485801625997,10.682261776179075,0.019169221218789414,0.01520659744487199,1378529.5444024515,196932.79205749306
260,7,97,129.55000305175778,9.0,8.801512666997002,9.0,0.0,8.789257943630219,0.13516801595687888,0.13316976150963455,0.09278350515463918,1383339.8726181888,199667.91195921347
260,6,89,121.05001831054688,9.486832980505138,9.63330166001082,9.0,3.0,9.145984888076782,2.9594858884811406,0.15591720975935458,0.10659362899443975,1274024.7582233313,189920.39762700684
260,5,70,92.4000244140625,5.0,5.072726693880125,5.0,0.0,5.02531349658966,0.26961183547973055,0.11915479578516062,0.07142857142857142,816126.72563118,139964.57874273587
260,4,71,94.09994506835938,2.8284271247461903,2.989628309139258,2.0,2.0,2.1795053482055664,1.91247582435608,0.065272657067648,0.039837001756988594,837679.2276515665,141593.63266948384
260,3,80,106.39996337890624,4.0,3.884213088703423,4.0,0.0,3.841693878173829,0.24204087257385476,0.07173737841777694,0.05,987751.2894432818,158166.79039714695
260,2,78,103.14996337890624,2.8284271247461903,2.838101274593231,2.0,2.0,2.0418481826782244,1.891799926757812,0.05307456650035946,0.03626188621469475,945174.7621977947,153327.5931406568
260,1,70,99.3499755859375,9.486832980505138,9.539770566877944,9.0,3.0,8.979618191719053,3.101052999496459,0.16449297138322622,0.13552618543578768,1051559.0033627378,168384.2018255926
261,8,84,126.8499984741211,5.830951894845301,19.812056244625026,3.0,5.0,4.952788907197826,18.855488373312255,0.08781139830008466,0.06941609398625358,1325596.0545093212,193358.05722064473
261,7,72,96.25,7.0710678118654755,6.907466550932266,5.0,5.0,4.8553664684295645,4.904397487640381,0.1426595694252423,0.09820927516479827,863919.7383182343,146029.08851672048
261,6,76,100.25003051757812,2.0,2.3618981684804807,2.0,0.0,2.106700897216797,0.6492691040039062,0.048722769712676875,0.02631578947368421,907072.9066506238,149121.86726548945
261,5,86,119.05001831054688,10.816653826391969,10.674665625053725,6.0,9.0,5.895046234130863,8.87350845336914,0.1768837271388187,0.12577504449292987,1204909.6444506869,183746.99815869675
261,4,71,96.60000610351562,3.0,3.3043041199015786,3.0,0.0,2.986229419708252,0.848784744739533,0.0689610805362463,0.04225352112676056,838230.7165229265,141686.85130269686
261,3,86,114.0999755859375,2.8284271247461903,2.7559025065770912,2.0,2.0,1.9585464000701893,1.880389511585236,0.04977033939212561,0.03288868749704872,1058197.1242595278,165262.62571531517
261,2,80,104.4500732421875,2.0,1.919992582359035,2.0,0.0,1.8650592565536503,0.23266267776489435,0.03552963686371712,0.025,942253.906494052,152853.76777747777
261,1,78,109.40008544921876,7.0710678118654755,6.972114789149598,1.0,7.0,0.9950815439224239,6.848078966140747,0.12704882194243727,0.09065471553673686,1128403.348091385,174116.4167189412
262,8,97,147.35000610351562,10.04987562112089,30.009346509564658,1.0,10.0,4.946478660215689,29.565859242000442,0.13494350975034414,0.10360696516619475,1659180.0737881493,225785.80956523932
262,7,95,130.20001220703122,12.727922061357855,12.805343056400506,9.0,9.0,8.828500330448149,9.046533942222595,0.2057495213886525,0.13397812696166164,1392415.8606092734,203104.7276693052
262,6,73,101.55001831054688,9.0,9.370017106366657,9.0,0.0,9.186167836189272,0.6635509133338922,0.19251538158671275,0.1232876712328767,965524.5561395036,158731.25924778898
262,5,89,123.29998779296876,7.211102550927978,7.371738954050962,6.0,4.0,6.165144920349123,3.9178356528282166,0.12639033345674927,0.0810236241677301,1206207.4560179852,181842.6159518532
262,4,92,125.8499755859375,4.242640687119285,4.351322099125457,3.0,3.0,3.048724174499511,2.9612772464752197,0.06145824653406938,0.04611565964260092,1222352.7811658883,182217.59407819007
262,3,78,106.0999755859375,4.47213595499958,4.317576262552719,2.0,4.0,1.9400396347045898,3.837662935256959,0.08471187412444699,0.057335076346148456,952599.8264390142,154532.09761385462
262,2,76,105.2999267578125,4.0,4.0732248102231745,0.0,4.0,0.22977352142333185,4.0466532707214355,0.07770362001304564,0.05263157894736842,950302.1624230677,154159.36729190676
262,1,76,109.14996337890624,9.899494936611665,9.935311984374263,7.0,7.0,6.944641351699827,7.017774105072025,0.1814930817884643,0.1302565123238377,1125835.0964840266,175825.9022841322
263,8,98,142.85000610351562,2.23606797749979,8.524392223612134,1.0,2.0,3.0443027929800337,7.9480225006482215,0.02946812260107925,0.022817020178569285,1516154.123437251,210252.74744458334
263,7,71,99.65000915527344,8.0,8.001376710046326,0.0,8.0,0.10764801502227728,7.9944363832473755,0.16263822150520152,0.11267605633802817,910772.9165029305,151795.48608382174
263,6,89,123.25,9.486832980505138,9.565559725980329,9.0,3.0,8.792477250099182,3.3442506790161133,0.15536992802199992,0.10659362899443975,1227379.7978679258,185034.46658137103
263,5,77,105.64999389648438,4.242640687119285,4.544170483647389,3.0,3.0,3.3335723876953125,2.994243621826172,0.09868898860325939,0.055099229702847856,954472.171543847,154835.8320976078
263,4,99,133.64999389648438,2.8284271247461903,2.919273396571641,2.0,2.0,2.0130486488342285,2.023313522338867,0.04481400912239527,0.028569970957032224,1339027.2280940106,193271.93264807886
263,3,95,128.449951171875,2.8284271247461903,2.778481794594772,2.0,2.0,1.9118366241455078,1.988070011138917,0.040077878648172256,0.029772917102591476,1256145.0484125777,185208.48315223842
263,2,89,111.7000732421875,1.0,0.9746021006004528,1.0,0.0,0.9090571403503418,0.2084312438964835,0.022231966076651587,0.011235955056179775,1015497.5176128623,160564.25569517998
263,1,77,112.0,7.0710678118654755,7.064645875999828,5.0,5.0,5.0435181856155396,4.937761187553406,0.12587765883654356,0.09183204950474644,1127850.8793513651,174031.1689416068
264,8,81,128.14999389648438,10.770329614269007,13.65560513261074,10.0,4.0,12.0170480399579,6.076838020526339,0.15947357881004395,0.132967032274926,1332495.2272788954,196465.7028770646
264,7,83,103.75,1.0,1.6181601177642118,1.0,0.0,1.5462894439697266,0.3798985481262145,0.04226651868304691,0.012048192771084338,905967.1036958504,148940.07437956543
264,6,94,129.0,4.0,3.857257516076385,0.0,4.0,0.16446399688720703,3.8224744796752925,0.06383254678676957,0.0425531914893617,1260507.4321099985,185851.68153808438
264,5,83,114.39999389648438,4.242640687119285,4.187181981365157,3.0,3.0,2.8909835815429696,2.975964069366454,0.07836302406177288,0.05111615285685885,1064537.9544036756,166252.8970124234
264,4,97,134.89999389648438,7.0710678118654755,7.009366804374106,5.0,5.0,4.949199318885802,4.918863773345948,0.11115887854248285,0.0728976063078915,1362328.4694472554,196635.17714001593
264,3,86,121.3499755859375,9.0,8.984089649225561,0.0,9.0,0.4893094301223755,8.870784640312195,0.1552065472270167,0.10465116279069768,1181063.9842247067,180110.5690655977
264,2,90,124.7000732421875,2.8284271247461903,3.2528201413374243,2.0,2.0,1.9075373411178582,2.4798634052276616,0.05455916789783673,0.03142696805273545,1178122.1053954198,177608.59003727935
264,1,79,111.3499755859375,2.8284271247461903,2.7867021057178203,2.0,2.0,2.0069158077239995,1.9005388021469116,0.045851911917874,0.03580287499678722,1058496.7445274836,165309.4185396999
265,8,81,128.19999694824222,10.04987562112089,19.985153646295114,10.0,1.0,19.702085321088816,3.1440051927565946,0.1555345926595771,0.12407253853235667,1317610.3831627255,194271.0523435158
265,7,92,131.54998779296878,9.486832980505138,9.721463796067761,3.0,9.0,3.445094108581543,8.905021965503693,0.15281723488284193,0.10311774978809933,1305935.9458293582,192549.75046607634
265,6,87,120.04998779296876,3.0,3.2617188344484416,3.0,0.0,2.929290771484375,0.7593889236450266,0.05870118746090503,0.034482758620689655,1098562.7483384174,169511.91221218032
265,5,97,133.29995727539062,2.0,2.036151034045788,0.0,2.0,0.3310270309448242,1.8927888870239258,0.03049649920393812,0.020618556701030927,1294916.716363907,188883.01582290285
265,4,73,96.5999755859375,1.4142135623730951,1.2997540228045983,1.0,1.0,0.9111795425415057,0.896000862121582,0.028472748509717778,0.019372788525658838,796461.5637269894,136592.03129956883
